resto_id,nama_restoran,preferensi_makanan,lokasi_restoran,Harga_Rata-Rata_Makanan_di_Toko (Rp),rating_toko,jenis_suasana,toko_sering_diskon_(Ya/Tidak),variasi_makanan,pelayanan_khusus_pasangan_(Ya/Tidak),entertainment,keramaian_restoran,disajikan/ambil_sendiri,all_you_can_eat/ala_carte,Lokasi
RT281J1,Ayam penyet surabaya Parangtritis,Indonesia,1.15 km,22000,4.3,Santai,Tidak,"Ayam Bakar, Ayam Goreng, Ayam Penyet",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/Y4n6u6hGz1UuhHHZ6
RT282J1,Jadah Tempe Mbah Carik Kaliurang (Kotagede),Indonesia,4.08 km,23000,4.5,Santai,Tidak,"Jadah, Tempe Bacem",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/LeLbHXpjYwLkv5Sh7
RT283J1,Rumah Makan Padang Minang Ria - Yogyakarta,Indonesia,1.38 km,15000,4.4,Santai,Tidak,"Ayam Pop, Nasi Padang, Ayam Bakar, Es Teh",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/hEbk8uM3gT5uBR6N6
RT284J1,Brongkos dan Es Teller Soekonandi,Indonesia,1.52 km,18000,4.4,Santai,Tidak,"Es Teler, Brongkos",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/PeJuZkMUspqZ5JceA
RT285J1,"Lotek, Gado-Gado & Nasi Rames Bu Barinah",Indonesia,4.95 km,28000,4.3,Santai,Tidak,"Lotek, Gado-Gado, Nasi Rames ",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/i3kKTZgdnG4PVLbH8
RT286J1,Gudeg Wijilan Bu Hj. Rini,Indonesia,3.06 km,22000,4.4,Santai,Tidak,"Gudeg, Rendang",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/Yfjv6naqNauFKkHR6
RT287J1,Gudeg Mbok Lindu,Indonesia,1.4 km,32000,4.6,Santai,Tidak,"Gudeg, Cendol, Nasi Goreng ",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/dCoZsKB3BKXY925C8
RT288J1,"Pempek & Siomay ""Ulu Bundar""",Indonesia,2.73 km,34000,4.3,Santai,Tidak,"Pempek, Tekwan",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/idau5rPs82HCYFnV7
RT289J1,Pempek Ny. Kamto Sagan,Indonesia,2.11 km,22000,4.6,Santai,Tidak,"Pempek, Tekwan",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/cDQgY124tXWQ5nKL8
RT290J1,Rawon & Soto Lamongan Cak Sukar,Indonesia,1.47 km,14000,4.6,Santai,Tidak,"Rawon, Soto Ayam, Tahu Campur",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/a2uzRCm8htSmJvcg8
RT291J1,Depot Rawon Surabaya.,Indonesia,3.01 km,16000,4.4,Santai,Tidak,"Ayam Penyet, Rawon, Soto Ayam, Es Teh, Es Jeruk",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/KJ4vmZpvZU8eft7A8
RT292J1,The House Of Ruminten,Indonesia,1.13 km,25000,4.5,Santai,Tidak,"Wedang Ronde, Wedang Serai, Kopi Jahe, Wedang Bajigur, Wedang Bandrexs, Fuyunghai, Ayam Goreng, Ayam Geprek, Sate Lilit, Telor Bakar,",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/FrzTQGdZNigvbvf17
RT293J1,Soto Sampah,Indonesia,0.85 km,27000,4.3,Santai,Tidak,Soto Ayam,Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/uR5NDp4cyXM9pCVr7
RT294J1,SGPC Bu Wiryo 1959,Indonesia,1 km,21000,4.3,Santai,Tidak,"Ayam Goreng, Nasi Pecel",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/46oQwHB4S7QgcYkV7
RT295J1,Ayam Geprek Bu Rum 1,Indonesia,2.2 km,43000,4.5,Santai,Tidak,ayam Geprek,Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/xzzHLkkZWizZtAuT8
RT296J1,Warung Brongkos Handayani,Indonesia,1.62 km,18000,4.5,Santai,Tidak,"Nasi Rames, Nasi Brongkos, Soto Ayam, Nasi Pecel, Wedang Uwuh",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/Zqvs4gS3hxN7rCVJA
RT297J1,Gudeg Bromo Bu Tekluk,Indonesia,0.75 km,16000,4.3,Santai,Tidak,Nasi Gudeg,Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/K5HrVrMDjQGUykE49
RT298J1,Pempek MC Oji,Indonesia,1.26 km,42000,4.3,Santai,Tidak,"Pempek, Tekwan, Adaan",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/um5EWyn7FzsSxFh8A
RT299J1,Gubug Makan Mang Engking Soragan Castle,Indonesia,3.1 km,17000,4.5,Santai,Tidak,"Ayam Goreng, Sop Iga, Tempe Mendoan, Karedok, Capcay, Piya-piya ",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/2hD5Mc2mxuzmSWuf7 
RT300J1,Kepik Sawah,Indonesia,2.84 km,17000,4.2,Santai,Tidak,"Belut Krispi, Tempe Mendoan, Wader Krispi",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/3V7249wtK4PGtNvn7
RT301J1,Sate Ratu,Indonesia,0.51 km,17000,4.7,Santai,Tidak,"Sate Lilit, Sate Merah, Sate Kanak,Sate Kulit",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/6EkFsSNABks5JrUNA 
RT302J1,Rumah Makan Bakso ITO,Indonesia,3.06 km,27000,4.4,Santai,Tidak,Bakso,Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/28iZJYAxXZHKkoaVA
RT303J1,Rumah Makan Plecing Kangkung,Indonesia,3.23 km,39000,4.4,Santai,Tidak,"Plecing Kngkung, Ayam Baluran, Lele Baluran, Babat Baluran",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/Cg7K5vuX7Y6maAjPA
RT304J1,Rumah Makan Soto Ayam 61,Indonesia,3.01 km,19000,4.3,Santai,Tidak,Soto Ayam,Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/iBow7XXaWN3btNMX7
RT305J1,Restoran Taman Pringsewu Yogyakarta,Indonesia,1.44 km,18000,4.4,Santai,Tidak,"Ayam Bakar, Tempe Mendoan, Ayam Krispi, Piya-piya ",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/a5K4LotcvdGPidLa6 
RT306J1,Sleko X Godagado Spesialis Makanan Khas Jawa Timur,Indonesia,0.83 km,22000,4.9,Santai,Tidak,"Gado-gado, Nasi Pecel, Rawon",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/zZDZsP8MMRj5oPct5
RT307J1,Bubur Hayam Kotabaru,Indonesia,2.13 km,40000,4.4,Santai,Tidak,"Bubur Ayam, Bubur Ketan Hitam",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/SwGiN26tZvmQHaab9
RT308J1,Rumah Makan Padang Minang Ria - Yogyakarta,Indonesia,3.1 km,16000,4.3,Santai,Tidak,"Nasi Padang, Krecek, Telur dadar, Ayam Pop, Tunjang, Es Teh, Es Jeruk ",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/s2VeJwvFNsPQahib8
RT309J1,Klotok Coffeshop,Indonesia,3.73 km,41000,4.5,Santai,Tidak,"Sayur Lodeh, Ayam Goreng, Pindang Goreng,Kopi Klotok, ",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/HoAKgGRyvh9NXizz6
RT310J1,Pawon Mbah Gito,Indonesia,5.58 km,25000,4.6,Santai,Tidak,"Empal Gepuk, Ayam Goreng, Sop Iga, Kopi Jahe",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/8wodYA3AuPMdFvoS6
RT311J1,Rumah Makan Duta Minang - Sudirman,Indonesia,1.97 km,19000,4.4,Santai,Tidak,"Nasi Padang, Krecek, Telur dadar, Ayam Pop",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/MPQPH7uiedsgr9w66
RT312J1,Jogja Airport Resto,Indonesia,3.17 km,132000,4.4,Santai,Tidak,"Capcay, Urap Sayuran",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/76f5q3DAPNw5CH1m8 
RT313J1,Bakmi Jombor Yogyakarta - Javanese Noodle,Indonesia,0.65 km,15000,4.2,Santai,Tidak,"Bakmi, Capcay, Rica Rica Ayam, Mie kopyok",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/nizWqwNyfYmSgGxe9
RT314J1,Ayam Pedas Artomoro,Indonesia,5.2 km,29000,4.5,Santai,Tidak,Ayam Bakar,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/Wce3jUyFzeKjNNde9
RT315J1,Bale Raos - The Sultan's Dishes,Indonesia,5.76 km,62000,4.5,Santai,Tidak,"Ayam Balado, Semur Daging, Es Dawet, Garang Asem",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/3hYB8MpPLqLNRePy5
RT316J1,Rumah Makan Cabe Uleg,Indonesia,3.24 km,38000,4.5,Santai,Tidak,"Ayam Goreng, Bakmi, Capcay",Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/Yo2chzX17p6PyNTP8
RT317J1,Yammie Pathuk Kemetiran Kidul Yogyakarta,Indonesia,4.3 km,28000,4.5,Santai,Tidak,Mie Pangsit. Bakso,Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/WgffAB5RwCpTwmjA8
RT318J1,Lombok Idjo Jogja Adisoetjipto,Indonesia,1.46 km,22000,4.5,Santai,Tidak,"Ayam, Goreng, Ayam Bakar, Empal Goreng",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/qruqh7cYhPQk2fXy7
RT319J1,Sekar Kedhaton Restaurant,Indonesia,5.54 km,40000,4.5,Santai,Tidak,"Wedang Jahe, Rawon, Garang Asem, Ayam Goreng",Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/FkunFP9uKrKTAoKf9
RT320J1,Kupat Gule Bang Doel,Indonesia,0.72 km,25000,4.7,Santai,Tidak,"Kupat Gule, Es Podeng ",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/xT1Rq1JWjkPviRGh6
RT321J1,Ayam Tulang Lunak Hayam Wuruk Taman Siswa,Indonesia,4.61 km,30000,4.5,Santai,Tidak,"Tahu Telor, Ayam Goreng, Ayam Bakar, Gurami Bakar",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/tkk6dsojCcbDc8LX8
RT322J1,Ketoprak Jakarta Mba Tina,Indonesia,5.22 km,49000,4.9,Santai,Tidak,Ketoprak,Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/VAHoqc6KVH6C8v8R6
RT323J1,Gudeg Yu Djum,Indonesia,4.79 km,30000,4.3,Santai,Tidak,Gudeg,Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/PiTN8cccEbmtwhDk9
RT324J1,Gudeg Bu Slamet,Indonesia,5.29 km,59000,4.5,Santai,Tidak,Gudeg,Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/NAtVYLBd5STSv7sG6
RT325J1,Soto Pites Mbah Galak,Indonesia,5.91 km,32000,4.7,Santai,Tidak,"Soto Sapi, Soto Ayam",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/azWXZPugqTaAuof29
RT326J1,Gudeg Sagan,Indonesia,2.25 km,22000,4.7,Santai,Tidak,Gudeg,Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/YyC988NHBEVZgrMQ6
RT327J1,Madam Tan Indonesian Food,Indonesia,6.2 km,40000,4.3,Santai,Tidak,"Otak Otak, Lumpia, Tahu Pong, Gurami Bakar",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/WXJG6sMDajxy3tiw6
RT328J1,"KABOBS - Premium Kebab, Taman Siswa Yogyakarta",Indonesia,0.75 km,26000,4.6,Santai,Tidak,Kebab,Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/2MQDpjbz6hGC5rHa7
RT329J1,Gudeg Yu Djum Wijilan 31,Indonesia,1.5 km,17000,4.5,Santai,Tidak,Gudeg,Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/KyxNchPZSvH4Z1qh9
RT330J1,Pempek Ny. Kamto Beskalan,Indonesia,5.55 km,120000,4.5,Santai,Tidak,"Pempek, Tekwan",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/nP2joZyGHDt1MeKa7
RT331J1,Soto Keraton Alun-Alun Lor Yogyakarta,Indonesia,3.58 km,26000,4.4,Santai,Tidak,"Soto Ayam, Ayam Geprek,",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/2rqU6KP7vcmiNkek7
RT332J1,Empal Bu Warno (cabang beringharjo),Indonesia,2.33 km,23000,4.6,Santai,Tidak,Empal,Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/nhjErvPezpPXo14U6
RT333J1,Gudeg Bu Widodo,Indonesia,2.84 km,36000,4.2,Santai,Tidak,Gudeg,Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/h9RAZgW8ULXHh6rB7
RT334J1,"Tengkleng Bhenjoyo, Keraton",Indonesia,0.99 km,17000,4.5,Santai,Tidak,"Tengkleng Kuah, Tengkleng Goreng, Sate Goreng, Wedang Uwuh, Wedang Secang",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/t1g5Ng8yqASv7aq69
RT335J1,Gudeg Yu Narni Tugu,Indonesia,4.87 km,35000,4.4,Santai,Tidak,Gudeg,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/VpsU6kRzdZXGDQLM7
RT336J1,Duta Minang Yogyakarta,Indonesia,0.74 km,30000,4.4,Santai,Tidak,Nasi Padang,Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/XRs9rZNUxwby3tDY8
RT337J1,Gudeg mbarek Bu Hj Amad PDHI Alun2 Utara,Indonesia,5.68 km,16000,4.2,Santai,Tidak,Gudeg,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/dienHmtV9drGmrCj7
RT338J1,Gudeg Wijilan Bu Atik,Indonesia,3.01 km,21000,4.4,Santai,Tidak,Gudeg,Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/PDy8QU6zaa2KWPCLA
RT339J1,Rumah Makan Ayam Dan Bebek Brontak Cabang Jogja(꧋ꦫꦸꦩꦃꦩꦏꦤ꧀ꦄꦪꦩ꧀ꦝꦤ꧀ꦧꦺꦧꦺꦏ꧀ꦧꦿꦺꦴꦤ꧀ꦠꦏ꧀ꦕꦧꦁꦗꦺꦴꦒ꧀ꦗ),Indonesia,5.11 km,82000,4.6,Santai,Tidak,"Ayam Goreng, Ca Kangkung, Ca Toge, Bebek Plencing",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/hpS59yqBYDKP2wSj7
RT340J1,"PITIK REMPAH ( PENYETAN AYAM REMPAH , MAKANAN INSTAN DAN ANEKA MINUMAN )",Indonesia,6.4 km,66000,4.4,Santai,Tidak,Ayam Rempah,Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/7umq57wEJHeFt4bp8
RT341J1,Es Jaipong Gaul,Indonesia,1.56 km,22000,4.6,Santai,Tidak,Es Jaipong ,Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/43xrLCGbHuhGK2jK9
RT342J1,"Es Doger, Batagor, Siomay Balai Yasa",Indonesia,6.09 km,32000,4.4,Santai,Tidak,"EsDoger, Batagor, Siomay",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/TDab6AhLqFFJV8QS8
RT343J1,Resto Racikan & Kopi Ponti,Indonesia,1.32 km,12000,4.5,Santai,Tidak,"Kopi Jahe, Kopi Saring, Teh Sereh, Jahe Sereh, Es Dawet",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/X4XyrP4rFQpzq7qf9
RT344J1,Es Jaipong Kang Aceng,Indonesia,2.47 km,108000,4.5,Santai,Tidak,"Es Jaipong, Es Podeng ",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/4LdXnXeaD7kNayvC6
RT345J1,Wedang Tahu Bu Sukardi,Indonesia,2.42 km,50000,4.7,Santai,Tidak,Wedang Tahu,Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/NSBior7d3acL39TC9
RT346J1,Rempah Asia,Indonesia,1.34 km,26000,4.2,Santai,Tidak,"Nasi Goreng, Roti Canai, Nasi Lemak",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/2oAdzvekrJ7wXf4z6
RT347J1,Wedang Ayu Bu Sui,Indonesia,0.53 km,20000,4.7,Santai,Tidak,Wedang Ayu,Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/QhY3gdf9cAyyHg9m7
RT348J1,Wedang Tahu Bu Sukardi Cabang Mirota,Indonesia,2.28 km,20000,4.9,Santai,Tidak,Wedang Tahu,Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/vXrtR86x5SdHFq8NA
RT349J1,Wedang Ronde pak Tulus ꧋ꦮꦺꦣꦁꦫꦺꦴꦤ꧀ꦝꦼꦥꦏ꧀ꦠꦸꦭꦸꦱ꧀,Indonesia,2.91 km,22000,4.5,Santai,Tidak,Wedang Ronde,Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/de5dFkmNvb7ybkhL9
RT350J1,Selawase Wedangan,Indonesia,1.38 km,15000,4.7,Santai,Tidak,"Ayam Goereng, Tempe Mendoan, Sayur Lodeh, Empal Bacem,",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/DtdbKFR49fGt8eiVA
RT351J1,Tahu Gimbal Pak Yono,Indonesia,3.01 km,21000,4.5,Santai,Tidak,Tahu Gimbal,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/6syUMk2pCEbWSLoy9
RT352J1,Bakmi & Bajigur Kadin Mbah Hj. Karto Pak Rochadi,Indonesia,0.72 km,25000,4,Santai,Tidak,"Bakmi, Capcay, Wedang Bajigur, Teh Jahe, Jahe Sereh, Mie kopyok",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/Xm6ELZzwiXeQC92f6
RT353J1,Warung WEDANG BAJIGUR 49(ꦮꦫꦸꦁꦮꦺꦣꦁꦧꦗꦶꦒꦸꦂ꧇꧔꧙꧇),Indonesia,3.01 km,19000,4.6,Santai,Tidak,"Wedang Bajigur, Nangka goreng ",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/3N841Ew6H75baUVg6
RT354J1,Lumpia Rebung Bu Tatik (ꦭꦸꦩ꧀ꦥꦶꦪꦉꦧꦸꦁꦧꦸꦠꦠꦶꦏ꧀),Indonesia,0.53 km,19000,4.2,Santai,Tidak,Lumpia Rebung,Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/Rrxtv8Y5Pt7c3zX19
RT355J1,Waroeng Sambal Lamongan(ꦮꦫꦺꦴꦮꦺꦁꦱꦩ꧀ꦧꦭ꧀ꦭꦩꦺꦴꦔꦤ꧀),Indonesia,3.06 km,16000,4.3,Santai,Tidak,"Ayam Krispi, Pepes, Es Podeng ",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/36efXQcbQjw2TtxGA
RT356J1,Lotek & Gado-Gado Bu Bagyo Colombo,Indonesia,3.02 km,19000,4.4,Santai,Tidak,"Kopi Uwuh, Lotek, Gado gado",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/szFvjRS3f287s3136
RT357J1,Oseng-oseng Mercon Bu Narti,Indonesia,3.1 km,20000,3.8,Santai,Tidak,"Babat Goreng, Ayam Goreng, Oseng Oseng Mercon",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/bMo9BTuReCJ9zhLP6
RT358J1,Gudeg Bu Tjitro 1925,Indonesia,0.43 km,24000,4.7,Santai,Tidak,"Gudeg, Es Podeng ",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/MtpxF2J1845vHfcBA
RT359J1,Lontong Tahu Blora Bu Pudji,Indonesia,0.53 km,19000,4.6,Santai,Tidak,"Lontong Tahu, Kupat Tahu, Soto Daging, Es Dawet, Es Teh, Es Jeruk ",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/aXd6QbZsuDGjBGrLA
RT360J1,Dapur Bupati Jogja,Indonesia,0.76 km,27000,4.4,Santai,Tidak,"Sayur Lodeh, Ayam Goreng, Brongkos Daging, Sayur Asem, Gulai Ayam,Ayam Bakar, Tempe Mendoan, Mie kopyok, Piya-piya ",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/euPx81DwtFteBagM8
RT361J1,Sate Babi Maranatha,Indonesia,6.4 km,25000,4.7,Santai,Tidak,Sate Babi,Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/Tf2xnXJjqyx6gzPo8
RT362J1,Warung 52 Babi Panggang & Spesial Menu Babi Favorit Jogja,Indonesia,2.33 km,31000,4.4,Santai,Tidak,"Babi Panggang, Babi cabe Garam",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/6pKgvNB5n4aZuDU6A
RT363J1,Bakso Babi Pak Gundul,Indonesia,6.02 km,92000,4.5,Santai,Tidak,Bakso Babi,Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/gXrKniRT4Brz2nMp7
RT364J1,Ayam Kampung Goreng Kebon Ndhelik Bausasran,Indonesia,1.42 km,33000,4.4,Santai,Tidak,"Ayam Goreng, Jeroan Sapi",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/EBh5SH2kHJfjHovJ8
RT365J1,Nasi Pecel Bu Dwi Asli Madiun,Indonesia,5.24 km,28000,4.4,Santai,Tidak,"Nasi Pecel, Nasi Rames, Nasi Rawon",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/NpYUfndibeJt7SGm8
RT366J1,Gudeg Wijilan Bu Lies,Indonesia,1.1 km,13000,4.4,Santai,Tidak,"Gudeg, Wedang Uwuh, Es Podeng ",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/M9ceGBSvhVWc2XTw8
RT367J1,Sate Kambing Asli Tambaksegaran Yogyakarta,Indonesia,2.07 km,42000,4.3,Santai,Tidak,"Sate Buntel, Nasi Gule, Sate Ati",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/1Fw1UEDjB1cc1jJc6
RT368J1,Mie Ayam Bu Tumini Sari Rasa Jati Ayu,Indonesia,1.49 km,18000,4.5,Santai,Tidak,Mie Ayam,Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/H9tJfdyqbn96kXdE9
RT369J1,Gudeg Wijilan Bu Is,Indonesia,4.13 km,28000,4.7,Santai,Tidak,Gudeg,Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/uhy86eJbXamVRmmE6
RT370J1,Gudeg Permata Bu Narti,Indonesia,0.29 km,17000,4.5,Santai,Tidak,Soto Ayam,Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/LLngPPtVwJzAcPcz8
RT371J1,Soto Ayam Kampung dan Brongkos Bu Rini,Indonesia,2.08 km,45000,4.4,Santai,Tidak,"Soto Ayam, Brongkos, Gorengan, Baceman, Teh Es/Panas",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/37SUkYYw7sxUt3wXA
RT372J1,Soto Djiancuk ꧋ꦱꦺꦴꦠꦺꦴꦣ꧀ꦗꦶꦪꦚ꧀ꦕꦸꦏ꧀,Indonesia,1.91 km,28000,4.4,Santai,Tidak,"Soto, Nasi Putih, Sate Ayam, Sate Keong, Krupuk Kaleng, Gorengan, Teh Manis Es/Panas, Teh Tawar, Es/Panas, Lemon Tea Es/Panas, Kopi Es/Panas, Coklat Es/Panas, White Coffe Es/Panas, Susu Putih Es/Panas, Susu Coklat Es/Panas, Good Day Mocacinno Es/Panas, Good Day Vanilla Latte Es/Panas, Good Day Chococinno Es/Panas, Good Day Coolin Es/Panas, Good Day Carrebian Nut Es/Panas, Soda Gembira, Air Putih Es/Panas, Wedang Uwuh, Jahe, Susu Jahe",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/jZG8V5otTdNKw7ny8
RT373J1,Bingke Pontianak Permata,Indonesia,3.72 km,25000,4.4,Santai,Tidak,Bingke Pontianak,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/kBd3rntuLwYZW4Uy8
RT374J1,Gudeg Bu Djuminten,Indonesia,1.08 km,28000,4.5,Santai,Tidak,"Nasi Gudeg, Teh Tawar/Manis, Jeruk Panas/ Dingin, Tape Panas/Dingin, Beras Kencur, Es Beras Kencur, Kopi Panas/Dingin, Kopi Gingseng, Teh Tarik, Es Teh Tarik, Le Minerale, Air Es, Mie kopyok",Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/LZeoWC5kvwytEHqe7
RT375J1,Coto Makassar & Es Pisang Ijo Khansa,Indonesia,0.86 km,14000,4.3,Santai,Tidak,"Soto Makasar, Nasi Goreng Merah, Sop Paru, Sop Ubi, Bakso Buras, Penyetan, Mie Goreng/Kuah, Jalangkote, Konro, Ketupat/Buras, Pisang Epe, Es Pisang Ijo, Es Campur, Es Palubujung, Es Cincau, Sup Buah, Es Teh / Es Jeruk, Gorengan, Mie kopyok",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/74151trAQRDspeEp7
RT376J1,Es Cendol Pathi Onggok Gula Jawa Pak Alex,Indonesia,1.23 km,20000,4.6,Santai,Tidak,Es Cendol,Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/H5KKE2yxwReKyU3A7
RT377J1,Es Dawet Pak Slamet Sonosewu,Indonesia,1.37 km,15000,4.6,Santai,Tidak,Es Dawet,Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/kzJ94q2Ut1gnxRLq7
RT378J1,Es Cemot Nusantara,Indonesia,3.24 km,44000,4.2,Santai,Tidak,Smoothies Buah,Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/Z34Dyv5eKBdnhhBE9
RT379J1,Rujak Es Krim Pak Paino,Indonesia,3.84 km,120000,4.7,Santai,Tidak,"Rujak Es Krim, Es Podeng ",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/vHwWocghi5ZCXUsH8
RT380J1,Tahu Kupat & Es Dawet Ayu Khas Banjarnegara,Indonesia,3.7 km,26000,4.3,Santai,Tidak,Tahu Kupat dan Es Dawet Ayu,Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/MY64EQaNVQfuzBZv8
RT381J1,Aneka Jenang Kedai Jagoan,Indonesia,3.63 km,32000,4.5,Santai,Tidak,"Permata Delima, Mawar Mutiara, Putri Giok, Burjo, Putri Salju, Permata Hitam, Nira Duana, Sarang Naga, Telur Naga, Karmila, Bubur, Campur",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/TxMRGxC4yoC6WXWy7
