resto_id,nama_restoran,preferensi_makanan,lokasi_restoran,Harga_Rata-Rata_Makanan_di_Toko (Rp),rating_toko,jenis_suasana,toko_sering_diskon_(Ya/Tidak),variasi_makanan,pelayanan_khusus_pasangan_(Ya/Tidak),entertainment,keramaian_restoran,disajikan/ambil_sendiri,all_you_can_eat/ala_carte,Lokasi
RT215J1,Thiwul kukus,Indonesia,1.1 km,13000,4.5,Santai,Tidak,Thiwul Kukus,Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/WtE5QyYXT972hSHv6
RT216J1,Tumpeng Mini Jogja - tumpeng.mini.jogja,Indonesia,2.07 km,42000,4.8,Santai,Tidak,Nasi Tumpeng,Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/ZwX8TUgVqpxBPMzo9
RT217J1,Depot Mbah Lin,Indonesia,1.49 km,18000,4.4,Santai,Tidak,"Tahu Tek, Lontong Balap",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/ZMw8pVwyxUY6DMQG8
RT218J1,Nasi Krawu Mawut꧋ꦤꦱꦶꦏꦿꦮꦸꦩꦮꦸꦠ꧀,Indonesia,4.13 km,28000,4.9,Santai,Tidak,Nasi Krawu,Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/MLAydRiG9SzhYCVJA
RT219J1,Wedang Ronde Lek Dhie Milenial,Indonesia,0.29 km,17000,4.9,Santai,Tidak,Wedang Ronde,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/94nKBmMNPJWEibWg7
RT220J1,Warung Wedang Bajigur,Indonesia,2.08 km,45000,4.6,Santai,Tidak,"Wedang Bajigur, Nangka goreng ",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/8g6WR1UKpVUdjfdu5
RT221J1,Warung Bajigur & Bandrek Budhe Warsi,Indonesia,1.91 km,28000,4.7,Santai,Tidak,"Bandrek, Wedang Bajigur, Nangka goreng ",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/yLSEu4f4DQAnB5iY8
RT222J1,Es Oyen,Indonesia,3.72 km,25000,4.5,Santai,Tidak,Es Oyen,Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/cjrfzeEwFcxyuRdn9
RT223J1,Bosstown Kebab by Black Kebab,Indonesia,1.08 km,28000,4.7,Santai,Tidak,Kebab,Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/YhEgGrtZyfGndgdq7
RT224J1,Restaurant Warung Toscana | Italian Food & Indonesian Cuisine,Indonesia,0.86 km,14000,4.6,Santai,Tidak,"Risotto, Mie Goreng",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/BQyv8ozmvytH7Q8j7
